*******************MIL CNN*********************
Size of training dataset 1776
Size of Validation dataset 445
Size of testing dataset 585
No. of Epochs: 800
 Batch size: 1
 Learning_rate : 0.01
 Patch size 512*512
 Step 1776
Epoch	BatchTime	AverageBatchTime	Loss	AverageLoss	Accuracy	AverageAccuracy
[1][67/1776]	1.459638	 2.171284	1.402306080	1.517470585	1.000000000	0.455882353	
[1][68/1776]	0.939466	 2.153431	1.344709396	1.514966800	1.000000000	0.463768116	
[1][69/1776]	1.092637	 2.138277	1.454194784	1.514098628	0.000000000	0.457142857	
[1][70/1776]	2.060901	 2.137187	1.426411390	1.512863597	0.000000000	0.450704225	
[1][71/1776]	1.679542	 2.130831	1.336641312	1.510416065	1.000000000	0.458333333	
[1][72/1776]	4.120007	 2.158080	1.542954683	1.510861799	0.000000000	0.452054795	
[1][73/1776]	1.534058	 2.149647	1.284306169	1.507800237	0.000000000	0.445945946	
[1][74/1776]	1.947234	 2.146948	1.273235798	1.504672711	1.000000000	0.453333333	
[1][75/1776]	2.034186	 2.145465	1.391585708	1.503184724	1.000000000	0.460526316	
[1][76/1776]	3.069198	 2.157461	2.033915043	1.510077326	0.000000000	0.454545455	
[1][77/1776]	0.822475	 2.140346	1.429212213	1.509040593	0.000000000	0.448717949	
[1][78/1776]	1.544578	 2.132805	1.371940374	1.507305148	1.000000000	0.455696203	
[1][79/1776]	1.757828	 2.128117	1.368652225	1.505571986	1.000000000	0.462500000	
[1][80/1776]	0.931082	 2.113339	1.273332596	1.502704833	1.000000000	0.469135802	
[1][81/1776]	0.639619	 2.095367	1.612084627	1.504038733	0.000000000	0.463414634	
[1][82/1776]	0.776811	 2.079481	1.406599283	1.502864764	0.000000000	0.457831325	
[1][83/1776]	1.244198	 2.069537	1.340376616	1.500930381	1.000000000	0.464285714	
[1][84/1776]	1.773870	 2.066059	1.210871577	1.497517924	1.000000000	0.470588235	
[1][85/1776]	1.638728	 2.061090	1.788517952	1.500901646	0.000000000	0.465116279	
[1][86/1776]	6.242900	 2.109156	1.375643015	1.499461891	1.000000000	0.471264368	
[1][87/1776]	1.571140	 2.103043	1.398481846	1.498314391	0.000000000	0.465909091	
[1][88/1776]	1.265919	 2.093637	1.394053221	1.497142917	0.000000000	0.460674157	
[1][89/1776]	0.960625	 2.081048	1.379951715	1.495840793	1.000000000	0.466666667	
[1][90/1776]	0.665705	 2.065494	1.422528267	1.495035160	0.000000000	0.461538462	
[1][91/1776]	1.253344	 2.056667	1.382739782	1.493814558	1.000000000	0.467391304	
[1][92/1776]	0.578445	 2.040772	1.381954789	1.492611765	1.000000000	0.473118280	
[1][93/1776]	1.205512	 2.031886	1.393466949	1.491557033	1.000000000	0.478723404	
[1][94/1776]	1.496939	 2.026255	1.367389202	1.490250003	1.000000000	0.484210526	
[1][95/1776]	0.695236	 2.012390	1.379575849	1.489097148	1.000000000	0.489583333	
[1][96/1776]	1.535944	 2.007478	1.393026710	1.488106731	0.000000000	0.484536082	
[1][97/1776]	0.902526	 1.996203	1.390741706	1.487113210	1.000000000	0.489795918	
[1][98/1776]	2.584612	 2.002147	1.374217749	1.485972852	0.000000000	0.484848485	
[1][99/1776]	4.314721	 2.025273	1.399407625	1.485107200	0.000000000	0.480000000	
[1][100/1776]	1.378646	 2.018870	1.391291142	1.484178328	0.000000000	0.475247525	
[1][101/1776]	1.019743	 2.009075	1.398643494	1.483339751	1.000000000	0.480392157	
[1][102/1776]	1.517078	 2.004298	1.431408405	1.482835563	0.000000000	0.475728155	
[1][103/1776]	4.561214	 2.028884	1.376858354	1.481816551	1.000000000	0.480769231	
[1][104/1776]	3.533953	 2.043218	1.374324203	1.480792815	1.000000000	0.485714286	
[1][105/1776]	2.510533	 2.047627	1.375507236	1.479799555	1.000000000	0.490566038	
[1][106/1776]	2.212721	 2.049170	1.406405330	1.479113627	0.000000000	0.485981308	
[1][107/1776]	0.595873	 2.035713	1.373774886	1.478138269	1.000000000	0.490740741	
[1][108/1776]	0.610062	 2.022634	1.394880533	1.477374436	0.000000000	0.486238532	
[1][109/1776]	2.646390	 2.028304	1.388399005	1.476565569	0.000000000	0.481818182	
[1][110/1776]	0.759622	 2.016875	1.388959646	1.475776326	0.000000000	0.477477477	
[1][111/1776]	2.767795	 2.023579	1.391703129	1.475025672	0.000000000	0.473214286	
[1][112/1776]	1.385004	 2.017928	1.381143570	1.474194857	1.000000000	0.477876106	
[1][113/1776]	0.510385	 2.004704	1.389670134	1.473453412	0.000000000	0.473684211	
[1][114/1776]	0.750555	 1.993799	1.380228162	1.472642758	1.000000000	0.478260870	
[1][115/1776]	0.786593	 1.983392	1.388173699	1.471914577	0.000000000	0.474137931	
[1][116/1776]	0.642366	 1.971930	1.393523812	1.471244570	0.000000000	0.470085470	
[1][117/1776]	1.591702	 1.968708	1.391382694	1.470567774	1.000000000	0.474576271	
[1][118/1776]	2.651831	 1.974448	1.379688621	1.469804084	1.000000000	0.478991597	
[1][119/1776]	1.166684	 1.967717	1.383269668	1.469082964	1.000000000	0.483333333	
[1][120/1776]	1.105679	 1.960593	1.395808697	1.468477392	0.000000000	0.479338843	
[1][121/1776]	2.657568	 1.966305	1.381900787	1.467767747	1.000000000	0.483606557	
[1][122/1776]	0.893011	 1.957580	1.386597395	1.467107826	0.000000000	0.479674797	
[1][123/1776]	1.329865	 1.952517	1.392354369	1.466504975	0.000000000	0.475806452	
[1][124/1776]	2.366037	 1.955825	1.381172419	1.465822315	1.000000000	0.480000000	
[1][125/1776]	0.970455	 1.948005	1.388997674	1.465212595	0.000000000	0.476190476	
[1][126/1776]	2.605915	 1.953185	1.394422770	1.464655195	0.000000000	0.472440945	
[1][127/1776]	3.817371	 1.967749	1.391428709	1.464083113	0.000000000	0.468750000	
[1][128/1776]	2.569970	 1.972418	1.388301373	1.463495658	1.000000000	0.472868217	
[1][129/1776]	0.725406	 1.962825	1.377737999	1.462835984	1.000000000	0.476923077	
[1][130/1776]	0.691195	 1.953118	1.380241513	1.462205491	1.000000000	0.480916031	
[1][131/1776]	0.853108	 1.944785	1.377465844	1.461563524	1.000000000	0.484848485	
[1][132/1776]	1.063977	 1.938162	1.393653631	1.461052924	0.000000000	0.481203008	
[1][133/1776]	5.326785	 1.963450	1.382549047	1.460467074	1.000000000	0.485074627	
[1][134/1776]	1.138520	 1.957340	1.391781807	1.459958294	0.000000000	0.481481481	
[1][135/1776]	5.017730	 1.979843	1.376766205	1.459346588	1.000000000	0.485294118	
[1][136/1776]	2.707546	 1.985154	1.386341810	1.458813706	1.000000000	0.489051095	
[1][137/1776]	1.558225	 1.982061	1.379342794	1.458237830	1.000000000	0.492753623	
