*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 10
 Learning_rate : 0.01
 Image size 512*512
 Step 258
Epoch: [1][50/258]	Time 3.712 (4.763)	Loss 1.3032 (1.9101)	Accuracy 0.3000 (0.3667)	
Epoch: [1][51/258]	Time 5.091 (4.769)	Loss 1.3347 (1.8990)	Accuracy 0.5000 (0.3692)	
Epoch: [1][52/258]	Time 4.206 (4.759)	Loss 1.2246 (1.8863)	Accuracy 0.4000 (0.3698)	
Epoch: [1][53/258]	Time 4.882 (4.761)	Loss 1.0536 (1.8709)	Accuracy 0.5000 (0.3722)	
Epoch: [1][54/258]	Time 5.040 (4.766)	Loss 1.1324 (1.8575)	Accuracy 0.7000 (0.3782)	
Epoch: [1][55/258]	Time 4.641 (4.764)	Loss 1.4249 (1.8497)	Accuracy 0.3000 (0.3768)	
Epoch: [1][56/258]	Time 5.047 (4.769)	Loss 0.9590 (1.8341)	Accuracy 0.5000 (0.3789)	
Epoch: [1][57/258]	Time 4.016 (4.756)	Loss 1.4548 (1.8276)	Accuracy 0.3000 (0.3776)	
Epoch: [1][58/258]	Time 4.460 (4.751)	Loss 0.8505 (1.8110)	Accuracy 0.5000 (0.3797)	
Epoch: [1][59/258]	Time 4.950 (4.754)	Loss 0.9183 (1.7961)	Accuracy 0.4000 (0.3800)	
Epoch: [1][60/258]	Time 5.651 (4.769)	Loss 1.0256 (1.7835)	Accuracy 0.4000 (0.3803)	
Epoch: [1][61/258]	Time 5.028 (4.773)	Loss 1.0633 (1.7719)	Accuracy 0.4000 (0.3806)	
Epoch: [1][62/258]	Time 5.375 (4.782)	Loss 0.7852 (1.7562)	Accuracy 0.8000 (0.3873)	
Epoch: [1][63/258]	Time 4.115 (4.772)	Loss 1.3512 (1.7499)	Accuracy 0.3000 (0.3859)	
Epoch: [1][64/258]	Time 4.835 (4.773)	Loss 1.0728 (1.7395)	Accuracy 0.6000 (0.3892)	
Epoch: [1][65/258]	Time 4.429 (4.768)	Loss 0.5788 (1.7219)	Accuracy 0.9000 (0.3970)	
Epoch: [1][66/258]	Time 4.806 (4.768)	Loss 1.6345 (1.7206)	Accuracy 0.2000 (0.3940)	
Epoch: [1][67/258]	Time 4.392 (4.763)	Loss 1.6278 (1.7192)	Accuracy 0.3000 (0.3926)	
Epoch: [1][68/258]	Time 4.689 (4.762)	Loss 1.4809 (1.7158)	Accuracy 0.3000 (0.3913)	
Epoch: [1][69/258]	Time 4.759 (4.762)	Loss 1.2135 (1.7086)	Accuracy 0.4000 (0.3914)	
Epoch: [1][70/258]	Time 4.764 (4.762)	Loss 1.2385 (1.7020)	Accuracy 0.4000 (0.3915)	
Epoch: [1][71/258]	Time 5.245 (4.768)	Loss 1.1739 (1.6946)	Accuracy 0.1000 (0.3875)	
Epoch: [1][72/258]	Time 4.897 (4.770)	Loss 1.2972 (1.6892)	Accuracy 0.3000 (0.3863)	
Epoch: [1][73/258]	Time 4.025 (4.760)	Loss 1.3761 (1.6850)	Accuracy 0.3000 (0.3851)	
Epoch: [1][74/258]	Time 4.346 (4.755)	Loss 1.3375 (1.6803)	Accuracy 0.5000 (0.3867)	
Epoch: [1][75/258]	Time 4.924 (4.757)	Loss 1.1347 (1.6732)	Accuracy 0.6000 (0.3895)	
Epoch: [1][76/258]	Time 4.132 (4.749)	Loss 0.8968 (1.6631)	Accuracy 0.6000 (0.3922)	
Epoch: [1][77/258]	Time 4.767 (4.749)	Loss 1.4351 (1.6602)	Accuracy 0.2000 (0.3897)	
Epoch: [1][78/258]	Time 3.766 (4.737)	Loss 1.1414 (1.6536)	Accuracy 0.4000 (0.3899)	
Epoch: [1][79/258]	Time 4.791 (4.737)	Loss 1.1531 (1.6473)	Accuracy 0.4000 (0.3900)	
