*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 5
 Learning_rate : 0.001
 Image size 512*512
 Step 516
Epoch: [1][50/516]	Time 3.792 (3.156)	Loss 0.7223 (1.2200)	Accuracy 0.8000 (0.4196)	
Epoch: [1][51/516]	Time 2.526 (3.144)	Loss 0.8719 (1.2133)	Accuracy 0.4000 (0.4192)	
Epoch: [1][52/516]	Time 2.906 (3.139)	Loss 1.6208 (1.2210)	Accuracy 0.0000 (0.4113)	
Epoch: [1][53/516]	Time 2.677 (3.131)	Loss 0.8930 (1.2149)	Accuracy 0.2000 (0.4074)	
Epoch: [1][54/516]	Time 2.893 (3.126)	Loss 0.9537 (1.2102)	Accuracy 0.4000 (0.4073)	
Epoch: [1][55/516]	Time 3.841 (3.139)	Loss 1.3137 (1.2120)	Accuracy 0.2000 (0.4036)	
Epoch: [1][56/516]	Time 3.237 (3.141)	Loss 0.8592 (1.2058)	Accuracy 0.8000 (0.4105)	
Epoch: [1][57/516]	Time 3.536 (3.148)	Loss 1.1991 (1.2057)	Accuracy 0.0000 (0.4034)	
Epoch: [1][58/516]	Time 3.202 (3.149)	Loss 0.9356 (1.2011)	Accuracy 0.6000 (0.4068)	
Epoch: [1][59/516]	Time 3.554 (3.155)	Loss 1.0523 (1.1987)	Accuracy 0.4000 (0.4067)	
Epoch: [1][60/516]	Time 3.080 (3.154)	Loss 1.1932 (1.1986)	Accuracy 0.2000 (0.4033)	
Epoch: [1][61/516]	Time 4.166 (3.171)	Loss 0.7893 (1.1920)	Accuracy 0.6000 (0.4065)	
Epoch: [1][62/516]	Time 3.686 (3.179)	Loss 1.1215 (1.1909)	Accuracy 0.4000 (0.4063)	
Epoch: [1][63/516]	Time 3.551 (3.185)	Loss 0.8006 (1.1848)	Accuracy 0.6000 (0.4094)	
Epoch: [1][64/516]	Time 2.995 (3.182)	Loss 1.4142 (1.1883)	Accuracy 0.4000 (0.4092)	
Epoch: [1][65/516]	Time 2.929 (3.178)	Loss 1.0781 (1.1866)	Accuracy 0.2000 (0.4061)	
Epoch: [1][66/516]	Time 3.251 (3.179)	Loss 0.7824 (1.1806)	Accuracy 0.8000 (0.4119)	
Epoch: [1][67/516]	Time 2.716 (3.172)	Loss 2.1790 (1.1953)	Accuracy 0.2000 (0.4088)	
Epoch: [1][68/516]	Time 4.282 (3.188)	Loss 1.0029 (1.1925)	Accuracy 0.6000 (0.4116)	
Epoch: [1][69/516]	Time 2.925 (3.184)	Loss 1.0882 (1.1910)	Accuracy 0.6000 (0.4143)	
Epoch: [1][70/516]	Time 3.176 (3.184)	Loss 1.5896 (1.1966)	Accuracy 0.2000 (0.4113)	
Epoch: [1][71/516]	Time 4.195 (3.198)	Loss 1.0244 (1.1942)	Accuracy 0.4000 (0.4111)	
Epoch: [1][72/516]	Time 2.671 (3.191)	Loss 0.6673 (1.1870)	Accuracy 1.0000 (0.4192)	
Epoch: [1][73/516]	Time 3.042 (3.189)	Loss 0.8928 (1.1830)	Accuracy 0.4000 (0.4189)	
Epoch: [1][74/516]	Time 3.006 (3.187)	Loss 0.9533 (1.1800)	Accuracy 0.4000 (0.4187)	
Epoch: [1][75/516]	Time 3.080 (3.185)	Loss 0.9537 (1.1770)	Accuracy 0.6000 (0.4211)	
Epoch: [1][76/516]	Time 2.679 (3.179)	Loss 0.8317 (1.1725)	Accuracy 0.6000 (0.4234)	
Epoch: [1][77/516]	Time 2.781 (3.174)	Loss 1.1576 (1.1723)	Accuracy 0.2000 (0.4205)	
Epoch: [1][78/516]	Time 3.333 (3.176)	Loss 0.8704 (1.1685)	Accuracy 0.8000 (0.4253)	
Epoch: [1][79/516]	Time 3.798 (3.183)	Loss 1.0260 (1.1667)	Accuracy 0.4000 (0.4250)	
Epoch: [1][80/516]	Time 3.788 (3.191)	Loss 0.9043 (1.1635)	Accuracy 0.4000 (0.4247)	
Epoch: [1][81/516]	Time 4.044 (3.201)	Loss 1.1100 (1.1628)	Accuracy 0.2000 (0.4220)	
