Epoch(step|length),BatchTime,AvgBatchTime,Loss,AvgLoss,Accuracy,AvgAccuracy
[1][0/258],4.325,4.325,0.9248,0.9248,0.4000,0.4000
[1][1/258],4.376,4.350,3.6456,2.2852,0.3000,0.3500
[1][2/258],2.990,3.897,1.5982,2.0562,0.4000,0.3667
[1][3/258],4.040,3.933,3.1838,2.3381,0.2000,0.3250
[1][4/258],3.581,3.862,3.1533,2.5011,0.2000,0.3000
[1][5/258],4.240,3.925,0.8505,2.2260,0.7000,0.3667
[1][6/258],4.815,4.052,1.0339,2.0557,0.3000,0.3571
[1][7/258],3.923,4.036,0.9814,1.9214,0.7000,0.4000
[1][8/258],3.725,4.001,0.7234,1.7883,0.7000,0.4333
[1][9/258],3.673,3.969,1.7024,1.7797,0.5000,0.4400
[1][10/258],4.362,4.004,1.5044,1.7547,0.5000,0.4455
[1][11/258],4.651,4.058,2.2150,1.7930,0.3000,0.4333
[1][12/258],4.654,4.104,1.1880,1.7465,0.5000,0.4385
[1][13/258],3.794,4.082,1.3778,1.7202,0.4000,0.4357
[1][14/258],4.643,4.119,1.1823,1.6843,0.5000,0.4400
[1][15/258],3.904,4.106,1.3865,1.6657,0.2000,0.4250
[1][16/258],3.631,4.078,1.3781,1.6488,0.4000,0.4235
[1][17/258],4.580,4.106,1.6806,1.6506,0.4000,0.4222
[1][18/258],4.295,4.116,1.4412,1.6395,0.3000,0.4158
[1][19/258],3.467,4.083,2.0282,1.6590,0.3000,0.4100
[1][20/258],4.008,4.080,1.1938,1.6368,0.6000,0.4190
[1][21/258],4.680,4.107,1.1653,1.6154,0.5000,0.4227
[1][22/258],4.020,4.103,1.4197,1.6069,0.4000,0.4217
[1][23/258],4.378,4.115,1.1327,1.5871,0.5000,0.4250
[1][24/258],5.500,4.170,0.7458,1.5535,0.6000,0.4320
[1][25/258],4.709,4.191,1.3028,1.5438,0.2000,0.4231
[1][26/258],3.407,4.162,1.3983,1.5384,0.3000,0.4185
[1][27/258],4.030,4.157,1.3260,1.5308,0.4000,0.4179
[1][28/258],3.633,4.139,1.4653,1.5286,0.5000,0.4207
[1][29/258],4.560,4.153,2.4067,1.5579,0.4000,0.4200
[1][30/258],4.572,4.167,1.2764,1.5488,0.3000,0.4161
[1][31/258],4.040,4.163,1.3611,1.5429,0.6000,0.4219
[1][32/258],3.996,4.158,1.2027,1.5326,0.4000,0.4212
[1][33/258],4.492,4.168,2.0278,1.5472,0.4000,0.4206
[1][34/258],3.845,4.158,1.9348,1.5582,0.2000,0.4143
[1][35/258],4.458,4.167,1.1306,1.5464,0.4000,0.4139
[1][36/258],4.158,4.166,2.3069,1.5669,0.1000,0.4054
[1][37/258],3.765,4.156,1.3882,1.5622,0.6000,0.4105
[1][38/258],3.422,4.137,1.1823,1.5525,0.3000,0.4077
[1][39/258],3.895,4.131,1.5854,1.5533,0.1000,0.4000
[1][40/258],3.996,4.128,1.8253,1.5599,0.1000,0.3927
[1][41/258],3.919,4.123,1.2468,1.5525,0.3000,0.3905
[1][42/258],4.148,4.123,0.8993,1.5373,0.3000,0.3884
[1][43/258],4.454,4.131,1.9777,1.5473,0.3000,0.3864
[1][44/258],3.599,4.119,1.1604,1.5387,0.3000,0.3844
[1][45/258],3.821,4.113,1.1094,1.5294,0.3000,0.3826
[1][46/258],3.488,4.099,1.7004,1.5330,0.1000,0.3766
[1][47/258],4.484,4.107,1.2673,1.5275,0.3000,0.3750
[1][48/258],4.622,4.118,1.8394,1.5338,0.4000,0.3755
[1][49/258],3.876,4.113,1.1050,1.5253,0.4000,0.3760
[1][50/258],3.914,4.109,1.2850,1.5205,0.3000,0.3745
[1][51/258],3.556,4.098,0.9255,1.5091,0.6000,0.3788
[1][52/258],4.309,4.102,1.5761,1.5104,0.5000,0.3811
[1][53/258],3.949,4.100,1.0801,1.5024,0.3000,0.3796
[1][54/258],4.056,4.099,1.1361,1.4957,0.2000,0.3764
[1][55/258],4.777,4.111,1.1091,1.4888,0.4000,0.3768
[1][56/258],3.930,4.108,1.4209,1.4876,0.5000,0.3789
[1][57/258],2.921,4.087,0.9871,1.4790,0.4000,0.3793
[1][58/258],3.980,4.085,1.7731,1.4840,0.2000,0.3763
[1][59/258],3.874,4.082,1.6344,1.4865,0.3000,0.3750
[1][60/258],3.648,4.075,1.3057,1.4835,0.4000,0.3754
[1][61/258],4.398,4.080,0.9865,1.4755,0.5000,0.3774
[1][62/258],3.915,4.077,0.9543,1.4673,0.6000,0.3810
[1][63/258],4.609,4.086,1.2940,1.4645,0.6000,0.3844
[1][64/258],4.332,4.089,2.0288,1.4732,0.2000,0.3815
[1][65/258],4.598,4.097,2.1520,1.4835,0.4000,0.3818
[1][66/258],4.756,4.107,1.8738,1.4893,0.5000,0.3836
[1][67/258],4.817,4.117,1.6830,1.4922,0.1000,0.3794
[1][68/258],5.125,4.132,1.9262,1.4985,0.6000,0.3826
[1][69/258],4.531,4.138,1.3809,1.4968,0.3000,0.3814
[1][70/258],3.665,4.131,1.1999,1.4926,0.5000,0.3831
[1][71/258],4.584,4.137,1.1349,1.4876,0.5000,0.3847
[1][72/258],4.701,4.145,1.4189,1.4867,0.3000,0.3836
[1][73/258],3.991,4.143,1.3941,1.4855,0.3000,0.3824
[1][74/258],4.754,4.151,1.3018,1.4830,0.3000,0.3813
[1][75/258],4.392,4.154,1.2678,1.4802,0.2000,0.3789
[1][76/258],3.865,4.151,1.3794,1.4789,0.5000,0.3805
[1][77/258],4.815,4.159,1.1410,1.4745,0.2000,0.3782
[1][78/258],4.045,4.158,1.3473,1.4729,0.2000,0.3759
[1][79/258],3.525,4.150,1.2493,1.4701,0.3000,0.3750
[1][80/258],4.492,4.154,1.0661,1.4651,0.3000,0.3741
[1][81/258],3.720,4.149,1.1995,1.4619,0.2000,0.3720
[1][82/258],4.137,4.148,1.2660,1.4595,0.4000,0.3723
[1][83/258],4.893,4.157,0.8821,1.4527,0.7000,0.3762
[1][84/258],4.636,4.163,1.0727,1.4482,0.4000,0.3765
[1][85/258],4.957,4.172,1.4120,1.4478,0.2000,0.3744
[1][86/258],3.888,4.169,1.0125,1.4428,0.4000,0.3747
[1][87/258],5.118,4.180,0.8229,1.4357,0.5000,0.3761
[1][88/258],4.521,4.184,0.9793,1.4306,0.3000,0.3753
[1][89/258],4.696,4.189,1.5149,1.4315,0.2000,0.3733
[1][90/258],4.518,4.193,1.1438,1.4284,0.4000,0.3736
[1][91/258],5.536,4.207,1.0681,1.4245,0.4000,0.3739
[1][92/258],4.702,4.213,1.3697,1.4239,0.3000,0.3731
[1][93/258],5.422,4.226,0.8763,1.4180,0.6000,0.3755
[1][94/258],4.511,4.229,1.3158,1.4170,0.3000,0.3747
[1][95/258],4.729,4.234,1.0795,1.4134,0.4000,0.3750
[1][96/258],6.200,4.254,1.2416,1.4117,0.2000,0.3732
[1][97/258],4.590,4.258,0.9961,1.4074,0.4000,0.3735
[1][98/258],3.523,4.250,1.1531,1.4049,0.3000,0.3727
[1][99/258],4.168,4.249,0.7897,1.3987,0.9000,0.3780
[1][100/258],4.577,4.253,1.3247,1.3980,0.2000,0.3762
[1][101/258],4.573,4.256,1.3552,1.3976,0.2000,0.3745
[1][102/258],3.986,4.253,1.0213,1.3939,0.5000,0.3757
[1][103/258],3.908,4.250,0.9929,1.3901,0.5000,0.3769
[1][104/258],3.967,4.247,1.0807,1.3871,0.4000,0.3771
[1][105/258],4.489,4.249,1.1596,1.3850,0.3000,0.3764
[1][106/258],3.845,4.246,0.8964,1.3804,0.7000,0.3794
[1][107/258],4.741,4.250,1.0941,1.3777,0.4000,0.3796
[1][108/258],5.237,4.259,0.9928,1.3742,0.6000,0.3817
[1][109/258],4.376,4.260,1.3166,1.3737,0.5000,0.3827
[1][110/258],4.873,4.266,1.1461,1.3716,0.5000,0.3838
[1][111/258],4.421,4.267,1.1302,1.3695,0.4000,0.3839
[1][112/258],3.574,4.261,0.8918,1.3653,0.6000,0.3858
[1][113/258],3.876,4.258,1.1772,1.3636,0.3000,0.3851
[1][114/258],3.901,4.255,1.1194,1.3615,0.4000,0.3852
[1][115/258],4.591,4.257,1.1543,1.3597,0.4000,0.3853
[1][116/258],3.671,4.252,1.2426,1.3587,0.6000,0.3872
[1][117/258],5.380,4.262,0.8334,1.3542,0.6000,0.3890
[1][118/258],3.952,4.259,1.1768,1.3528,0.4000,0.3891
[1][119/258],4.455,4.261,1.3014,1.3523,0.3000,0.3883
[1][120/258],3.820,4.257,0.8294,1.3480,0.6000,0.3901
[1][121/258],4.844,4.262,1.2393,1.3471,0.2000,0.3885
[1][122/258],4.373,4.263,1.1132,1.3452,0.4000,0.3886
[1][123/258],3.891,4.260,1.1196,1.3434,0.4000,0.3887
[1][124/258],5.341,4.269,1.0220,1.3408,0.4000,0.3888
[1][125/258],4.739,4.272,1.0804,1.3388,0.3000,0.3881
[1][126/258],4.228,4.272,1.0161,1.3362,0.6000,0.3898
[1][127/258],5.016,4.278,0.9962,1.3336,0.5000,0.3906
[1][128/258],3.967,4.276,1.0301,1.3312,0.4000,0.3907
[1][129/258],4.131,4.274,1.1646,1.3299,0.4000,0.3908
[1][130/258],4.956,4.280,1.1076,1.3282,0.4000,0.3908
[1][131/258],4.392,4.280,1.1519,1.3269,0.4000,0.3909
[1][132/258],4.085,4.279,1.5134,1.3283,0.2000,0.3895
[1][133/258],5.030,4.285,0.8082,1.3244,0.5000,0.3903
[1][134/258],5.064,4.290,0.8469,1.3209,0.5000,0.3911
[1][135/258],4.220,4.290,1.0908,1.3192,0.4000,0.3912
[1][136/258],4.165,4.289,1.5676,1.3210,0.3000,0.3905
[1][137/258],4.843,4.293,1.1270,1.3196,0.5000,0.3913
[1][138/258],4.850,4.297,1.0395,1.3176,0.5000,0.3921
[1][139/258],4.608,4.299,1.0864,1.3159,0.3000,0.3914
[1][140/258],4.343,4.300,1.1272,1.3146,0.3000,0.3908
[1][141/258],4.228,4.299,1.1195,1.3132,0.4000,0.3908
[1][142/258],4.385,4.300,1.1103,1.3118,0.6000,0.3923
[1][143/258],4.100,4.298,1.0733,1.3101,0.3000,0.3917
[1][144/258],4.767,4.301,1.3497,1.3104,0.3000,0.3910
[1][145/258],5.636,4.311,0.9698,1.3081,0.4000,0.3911
[1][146/258],4.357,4.311,0.9710,1.3058,0.5000,0.3918
[1][147/258],4.789,4.314,1.0197,1.3038,0.3000,0.3912
[1][148/258],3.829,4.311,1.0196,1.3019,0.6000,0.3926
[1][149/258],3.563,4.306,1.3244,1.3021,0.3000,0.3920
[1][150/258],4.100,4.305,1.3125,1.3022,0.2000,0.3907
[1][151/258],4.776,4.308,1.1767,1.3013,0.4000,0.3908
[1][152/258],4.923,4.312,1.1165,1.3001,0.3000,0.3902
[1][153/258],4.002,4.310,1.0848,1.2987,0.2000,0.3890
[1][154/258],4.082,4.308,1.0667,1.2972,0.5000,0.3897
[1][155/258],4.516,4.310,1.1787,1.2965,0.4000,0.3897
[1][156/258],3.696,4.306,1.0722,1.2950,0.3000,0.3892
[1][157/258],3.987,4.304,1.0449,1.2935,0.5000,0.3899
[1][158/258],3.756,4.300,1.0314,1.2918,0.4000,0.3899
[1][159/258],5.450,4.307,1.2202,1.2914,0.2000,0.3887
[1][160/258],3.578,4.303,1.0262,1.2897,0.4000,0.3888
[1][161/258],3.419,4.297,1.2004,1.2892,0.1000,0.3870
[1][162/258],4.433,4.298,1.1833,1.2885,0.4000,0.3871
[1][163/258],5.082,4.303,1.0702,1.2872,0.3000,0.3866
[1][164/258],4.242,4.303,1.1561,1.2864,0.2000,0.3855
[1][165/258],4.197,4.302,0.9921,1.2846,0.4000,0.3855
[1][166/258],3.992,4.300,1.1752,1.2840,0.3000,0.3850
[1][167/258],4.363,4.300,1.0631,1.2826,0.5000,0.3857
[1][168/258],4.572,4.302,1.3192,1.2829,0.3000,0.3852
[1][169/258],4.361,4.302,1.0440,1.2815,0.5000,0.3859
[1][170/258],4.800,4.305,1.2416,1.2812,0.4000,0.3860
[1][171/258],6.157,4.316,0.9811,1.2795,0.5000,0.3866
[1][172/258],4.566,4.318,1.0343,1.2781,0.3000,0.3861
[1][173/258],4.454,4.318,1.0668,1.2769,0.1000,0.3845
[1][174/258],4.117,4.317,1.0301,1.2754,0.6000,0.3857
[1][175/258],4.259,4.317,1.0244,1.2740,0.3000,0.3852
[1][176/258],5.229,4.322,1.1072,1.2731,0.3000,0.3847
[1][177/258],4.291,4.322,0.9842,1.2714,0.5000,0.3854
[1][178/258],5.209,4.327,0.9637,1.2697,0.6000,0.3866
[1][179/258],4.557,4.328,1.2189,1.2694,0.3000,0.3861
[1][180/258],4.649,4.330,1.1121,1.2686,0.4000,0.3862
[1][181/258],4.508,4.331,0.9343,1.2667,0.4000,0.3863
[1][182/258],4.251,4.330,0.9525,1.2650,0.6000,0.3874
[1][183/258],5.080,4.334,1.1830,1.2646,0.3000,0.3870
[1][184/258],4.115,4.333,1.3117,1.2648,0.2000,0.3859
[1][185/258],5.093,4.337,1.0716,1.2638,0.5000,0.3866
[1][186/258],4.400,4.338,1.1482,1.2632,0.4000,0.3866
[1][187/258],4.249,4.337,1.1231,1.2624,0.5000,0.3872
[1][188/258],4.094,4.336,1.1192,1.2617,0.3000,0.3868
[1][189/258],3.788,4.333,1.0481,1.2605,0.3000,0.3863
[1][190/258],5.269,4.338,1.0998,1.2597,0.2000,0.3853
[1][191/258],4.329,4.338,0.9989,1.2583,0.6000,0.3865
[1][192/258],4.007,4.336,1.0705,1.2574,0.5000,0.3870
[1][193/258],4.314,4.336,0.8721,1.2554,0.7000,0.3887
[1][194/258],4.204,4.335,0.8396,1.2533,0.5000,0.3892
[1][195/258],4.991,4.339,1.2250,1.2531,0.4000,0.3893
[1][196/258],5.105,4.343,1.0878,1.2523,0.4000,0.3893
[1][197/258],3.349,4.338,1.0815,1.2514,0.5000,0.3899
[1][198/258],4.338,4.338,1.3669,1.2520,0.2000,0.3889
[1][199/258],4.783,4.340,1.2915,1.2522,0.4000,0.3890
[1][200/258],4.772,4.342,1.1991,1.2519,0.4000,0.3891
[1][201/258],4.322,4.342,1.0807,1.2511,0.5000,0.3896
[1][202/258],3.746,4.339,1.2263,1.2510,0.1000,0.3882
[1][203/258],4.092,4.338,1.0179,1.2498,0.5000,0.3887
[1][204/258],4.150,4.337,0.9933,1.2486,0.5000,0.3893
[1][205/258],4.150,4.336,1.1573,1.2481,0.2000,0.3883
[1][206/258],4.673,4.338,1.0514,1.2472,0.3000,0.3879
[1][207/258],4.153,4.337,1.1208,1.2466,0.6000,0.3889
[1][208/258],4.236,4.336,1.0358,1.2456,0.6000,0.3900
[1][209/258],5.186,4.340,1.0589,1.2447,0.4000,0.3900
[1][210/258],4.748,4.342,0.8486,1.2428,0.7000,0.3915
[1][211/258],4.241,4.342,1.1012,1.2421,0.5000,0.3920
[1][212/258],4.545,4.343,0.7587,1.2398,0.7000,0.3934
[1][213/258],4.750,4.345,1.1906,1.2396,0.3000,0.3930
[1][214/258],4.397,4.345,0.8826,1.2380,0.5000,0.3935
[1][215/258],4.798,4.347,1.4664,1.2390,0.1000,0.3921
[1][216/258],4.464,4.347,1.0955,1.2384,0.4000,0.3922
[1][217/258],4.499,4.348,1.3257,1.2388,0.4000,0.3922
[1][218/258],3.849,4.346,1.3119,1.2391,0.5000,0.3927
[1][219/258],4.184,4.345,1.0551,1.2383,0.6000,0.3936
[1][220/258],5.009,4.348,0.8773,1.2366,0.9000,0.3959
[1][221/258],5.254,4.352,0.9986,1.2355,0.4000,0.3959
[1][222/258],5.481,4.357,0.8746,1.2339,0.6000,0.3969
[1][223/258],5.605,4.363,1.2041,1.2338,0.4000,0.3969
[1][224/258],4.109,4.362,1.0680,1.2331,0.4000,0.3969
[1][225/258],5.424,4.366,1.3081,1.2334,0.3000,0.3965
[1][226/258],5.106,4.370,1.2482,1.2335,0.5000,0.3969
[1][227/258],4.373,4.370,0.9992,1.2324,0.5000,0.3974
[1][228/258],4.029,4.368,1.1702,1.2322,0.3000,0.3969
[1][229/258],4.616,4.369,0.9104,1.2308,0.5000,0.3974
[1][230/258],5.630,4.375,1.0378,1.2299,0.5000,0.3978
[1][231/258],4.797,4.377,0.7434,1.2278,0.8000,0.3996
[1][232/258],5.802,4.383,0.8142,1.2261,0.6000,0.4004
[1][233/258],4.028,4.381,1.5450,1.2274,0.2000,0.3996
[1][234/258],5.146,4.384,0.9036,1.2260,0.3000,0.3991
[1][235/258],5.109,4.387,0.6446,1.2236,0.8000,0.4008
[1][236/258],3.545,4.384,1.0698,1.2229,0.4000,0.4008
[1][237/258],4.599,4.385,1.6947,1.2249,0.2000,0.4000
[1][238/258],4.547,4.386,1.7412,1.2271,0.4000,0.4000
[1][239/258],4.538,4.386,0.8249,1.2254,0.5000,0.4004
[1][240/258],4.850,4.388,1.6974,1.2273,0.2000,0.3996
[1][241/258],5.048,4.391,0.8307,1.2257,0.6000,0.4004
[1][242/258],4.097,4.390,1.0701,1.2251,0.4000,0.4004
[1][243/258],4.951,4.392,0.9342,1.2239,0.6000,0.4012
[1][244/258],4.583,4.393,1.0189,1.2230,0.5000,0.4016
[1][245/258],3.775,4.390,1.0520,1.2223,0.4000,0.4016
[1][246/258],5.155,4.393,1.0016,1.2215,0.5000,0.4020
[1][247/258],4.973,4.396,1.1300,1.2211,0.4000,0.4020
[1][248/258],4.152,4.395,0.9213,1.2199,0.5000,0.4024
[1][249/258],4.726,4.396,0.9099,1.2186,0.5000,0.4028
[1][250/258],4.594,4.397,0.9396,1.2175,0.6000,0.4036
[1][251/258],4.155,4.396,0.9218,1.2164,0.5000,0.4040
[1][252/258],4.927,4.398,1.2793,1.2166,0.3000,0.4036
[1][253/258],3.685,4.395,1.0099,1.2158,0.5000,0.4039
[1][254/258],5.140,4.398,0.9453,1.2147,0.4000,0.4039
[1][255/258],4.462,4.398,1.2933,1.2150,0.4000,0.4039
[1][256/258],3.909,4.396,1.0652,1.2145,0.5000,0.4043
[1][257/258],2.121,4.388,1.3164,1.2147,0.2857,0.4040
[2][0/258],6.310,6.310,0.8952,0.8952,0.5000,0.5000
[2][1/258],4.398,5.354,0.8674,0.8813,0.7000,0.6000
[2][2/258],3.972,4.893,1.0710,0.9445,0.5000,0.5667
[2][3/258],4.277,4.739,0.8064,0.9100,0.5000,0.5500
[2][4/258],4.376,4.667,0.9539,0.9188,0.4000,0.5200
[2][5/258],5.149,4.747,1.1510,0.9575,0.3000,0.4833
[2][6/258],3.515,4.571,0.8382,0.9404,0.5000,0.4857
[2][7/258],4.340,4.542,1.1300,0.9641,0.4000,0.4750
[2][8/258],4.016,4.484,1.0661,0.9755,0.4000,0.4667
[2][9/258],4.195,4.455,1.0940,0.9873,0.1000,0.4300
[2][10/258],4.027,4.416,0.9694,0.9857,0.3000,0.4182
[2][11/258],4.048,4.385,0.9103,0.9794,0.4000,0.4167
[2][12/258],4.207,4.372,1.1365,0.9915,0.1000,0.3923
[2][13/258],3.980,4.344,1.1511,1.0029,0.3000,0.3857
[2][14/258],4.833,4.376,0.9724,1.0009,0.2000,0.3733
[2][15/258],4.360,4.375,0.9572,0.9981,0.3000,0.3688
[2][16/258],3.185,4.305,1.4860,1.0268,0.4000,0.3706
[2][17/258],4.242,4.302,1.0936,1.0305,0.5000,0.3778
