Epoch(step|length),BatchTime,AvgBatchTime,Loss,AvgLoss,Accuracy,AvgAccuracy
[2][18/258],5.186,4.348,1.0650,1.0323,0.2000,0.3684
[2][19/258],4.009,4.331,1.1057,1.0360,0.4000,0.3700
[2][20/258],4.771,4.352,1.2199,1.0448,0.3000,0.3667
[2][21/258],3.963,4.335,1.1356,1.0489,0.3000,0.3636
[2][22/258],4.111,4.325,1.2010,1.0555,0.1000,0.3522
[2][23/258],4.098,4.315,1.1330,1.0587,0.3000,0.3500
[2][24/258],5.102,4.347,1.0399,1.0580,0.5000,0.3560
[2][25/258],5.885,4.406,1.1017,1.0597,0.4000,0.3577
[2][26/258],4.756,4.419,1.0600,1.0597,0.5000,0.3630
[2][27/258],5.524,4.458,1.0529,1.0594,0.3000,0.3607
[2][28/258],4.158,4.448,1.2728,1.0668,0.2000,0.3552
[2][29/258],3.912,4.430,0.9949,1.0644,0.5000,0.3600
[2][30/258],4.410,4.430,1.1987,1.0687,0.6000,0.3677
[2][31/258],4.204,4.423,1.1240,1.0705,0.5000,0.3719
[2][32/258],5.030,4.441,1.0190,1.0689,0.4000,0.3727
[2][33/258],4.631,4.447,1.0866,1.0694,0.4000,0.3735
[2][34/258],5.235,4.469,1.0401,1.0686,0.4000,0.3743
[2][35/258],4.583,4.472,0.9301,1.0647,0.6000,0.3806
[2][36/258],4.732,4.479,1.1131,1.0660,0.5000,0.3838
[2][37/258],5.017,4.493,0.9045,1.0618,0.6000,0.3895
[2][38/258],3.814,4.476,1.2971,1.0678,0.2000,0.3846
[2][39/258],5.400,4.499,0.9758,1.0655,0.6000,0.3900
[2][40/258],4.551,4.500,1.0724,1.0657,0.4000,0.3902
[2][41/258],3.921,4.487,1.0734,1.0659,0.2000,0.3857
[2][42/258],4.554,4.488,1.1513,1.0679,0.3000,0.3837
[2][43/258],4.274,4.483,0.8712,1.0634,0.6000,0.3886
[2][44/258],4.392,4.481,1.0620,1.0634,0.5000,0.3911
[2][45/258],4.257,4.476,1.4688,1.0722,0.0000,0.3826
[2][46/258],3.681,4.459,1.0158,1.0710,0.6000,0.3872
[2][47/258],4.155,4.453,0.9968,1.0694,0.4000,0.3875
[2][48/258],3.732,4.438,1.5034,1.0783,0.2000,0.3837
[2][49/258],3.915,4.428,1.6207,1.0891,0.2000,0.3800
[2][50/258],3.807,4.416,0.9799,1.0870,0.5000,0.3824
[2][51/258],4.192,4.411,0.9900,1.0851,0.5000,0.3846
[2][52/258],3.972,4.403,1.2022,1.0873,0.2000,0.3811
[2][53/258],4.194,4.399,1.1271,1.0881,0.3000,0.3796
[2][54/258],4.894,4.408,0.9795,1.0861,0.3000,0.3782
[2][55/258],4.301,4.406,1.2629,1.0893,0.3000,0.3768
[2][56/258],3.307,4.387,1.1004,1.0895,0.6000,0.3807
[2][57/258],3.990,4.380,1.3789,1.0944,0.3000,0.3793
[2][58/258],4.841,4.388,1.0065,1.0930,0.5000,0.3814
[2][59/258],5.861,4.413,0.7792,1.0877,0.7000,0.3867
[2][60/258],4.547,4.415,1.0635,1.0873,0.5000,0.3885
[2][61/258],4.650,4.419,1.0476,1.0867,0.3000,0.3871
[2][62/258],3.726,4.408,1.2854,1.0898,0.4000,0.3873
[2][63/258],4.399,4.407,1.7575,1.1003,0.3000,0.3859
[2][64/258],4.690,4.412,1.3073,1.1035,0.3000,0.3846
[2][65/258],3.717,4.401,1.0187,1.1022,0.5000,0.3864
[2][66/258],4.281,4.399,1.1587,1.1030,0.3000,0.3851
[2][67/258],2.557,4.372,1.1308,1.1034,0.3000,0.3838
[2][68/258],5.115,4.383,0.9961,1.1019,0.4000,0.3841
[2][69/258],4.586,4.386,0.9306,1.0994,0.5000,0.3857
[2][70/258],5.017,4.395,1.0628,1.0989,0.5000,0.3873
[2][71/258],5.037,4.404,0.9034,1.0962,0.8000,0.3931
[2][72/258],3.847,4.396,1.2622,1.0985,0.6000,0.3959
[2][73/258],4.560,4.398,0.9121,1.0959,0.6000,0.3986
[2][74/258],4.112,4.395,0.9818,1.0944,0.4000,0.3987
[2][75/258],3.798,4.387,1.0837,1.0943,0.5000,0.4000
[2][76/258],4.729,4.391,0.8541,1.0912,0.7000,0.4039
[2][77/258],4.399,4.391,1.2331,1.0930,0.5000,0.4051
[2][78/258],4.050,4.387,1.1813,1.0941,0.4000,0.4051
[2][79/258],4.091,4.383,1.2411,1.0959,0.4000,0.4050
[2][80/258],4.504,4.385,1.0726,1.0957,0.5000,0.4062
[2][81/258],4.951,4.392,1.3856,1.0992,0.2000,0.4037
[2][82/258],3.955,4.386,0.8773,1.0965,0.7000,0.4072
[2][83/258],4.223,4.384,0.7686,1.0926,0.6000,0.4095
[2][84/258],4.048,4.380,0.9417,1.0908,0.7000,0.4129
[2][85/258],3.293,4.368,0.8742,1.0883,0.6000,0.4151
[2][86/258],5.732,4.384,1.2184,1.0898,0.4000,0.4149
[2][87/258],4.109,4.380,1.2960,1.0922,0.3000,0.4136
[2][88/258],4.187,4.378,0.9880,1.0910,0.5000,0.4146
[2][89/258],4.733,4.382,1.1059,1.0911,0.5000,0.4156
[2][90/258],4.565,4.384,1.8085,1.0990,0.4000,0.4154
[2][91/258],4.409,4.384,1.3325,1.1016,0.5000,0.4163
[2][92/258],4.425,4.385,0.8004,1.0983,0.7000,0.4194
[2][93/258],3.059,4.371,1.0075,1.0974,0.4000,0.4191
[2][94/258],4.282,4.370,1.3872,1.1004,0.4000,0.4189
[2][95/258],4.451,4.371,1.3540,1.1031,0.1000,0.4156
[2][96/258],4.589,4.373,1.1852,1.1039,0.3000,0.4144
[2][97/258],4.213,4.371,1.1896,1.1048,0.1000,0.4112
[2][98/258],3.933,4.367,1.0636,1.1044,0.4000,0.4111
[2][99/258],3.233,4.356,1.0115,1.1034,0.5000,0.4120
[2][100/258],4.673,4.359,1.2591,1.1050,0.3000,0.4109
[2][101/258],5.307,4.368,1.2561,1.1065,0.1000,0.4078
[2][102/258],3.715,4.362,1.1457,1.1068,0.3000,0.4068
[2][103/258],4.648,4.364,1.1293,1.1071,0.3000,0.4058
[2][104/258],4.560,4.366,0.9565,1.1056,0.5000,0.4067
[2][105/258],3.673,4.360,1.1691,1.1062,0.4000,0.4066
[2][106/258],4.137,4.358,1.1383,1.1065,0.3000,0.4056
[2][107/258],4.203,4.356,1.0338,1.1058,0.4000,0.4056
[2][108/258],4.283,4.356,1.0989,1.1058,0.6000,0.4073
[2][109/258],4.025,4.353,1.0687,1.1054,0.4000,0.4073
[2][110/258],3.858,4.348,1.0574,1.1050,0.4000,0.4072
[2][111/258],4.874,4.353,1.1130,1.1051,0.4000,0.4071
[2][112/258],4.753,4.356,0.9038,1.1033,0.6000,0.4088
[2][113/258],4.329,4.356,1.0873,1.1032,0.5000,0.4096
[2][114/258],5.484,4.366,1.0897,1.1030,0.3000,0.4087
[2][115/258],5.425,4.375,1.0368,1.1025,0.1000,0.4060
[2][116/258],4.536,4.376,0.9166,1.1009,0.6000,0.4077
[2][117/258],3.930,4.373,1.3543,1.1030,0.1000,0.4051
[2][118/258],3.775,4.368,0.8443,1.1009,0.8000,0.4084
[2][119/258],4.150,4.366,1.0099,1.1001,0.3000,0.4075
[2][120/258],5.237,4.373,1.0290,1.0995,0.4000,0.4074
[2][121/258],3.909,4.369,0.8716,1.0976,0.5000,0.4082
[2][122/258],4.642,4.371,1.0116,1.0969,0.4000,0.4081
[2][123/258],3.924,4.368,0.9325,1.0956,0.5000,0.4089
[2][124/258],3.874,4.364,0.9297,1.0943,0.3000,0.4080
[2][125/258],4.286,4.363,0.9696,1.0933,0.6000,0.4095
[2][126/258],4.394,4.363,1.5625,1.0970,0.2000,0.4079
[2][127/258],4.556,4.365,1.3967,1.0993,0.3000,0.4070
[2][128/258],4.150,4.363,0.9149,1.0979,0.6000,0.4085
[2][129/258],3.853,4.359,1.1184,1.0981,0.5000,0.4092
[2][130/258],4.608,4.361,0.9288,1.0968,0.6000,0.4107
[2][131/258],3.672,4.356,1.1243,1.0970,0.4000,0.4106
[2][132/258],4.288,4.356,0.8711,1.0953,0.5000,0.4113
[2][133/258],4.401,4.356,1.0560,1.0950,0.2000,0.4097
[2][134/258],3.739,4.351,1.3155,1.0966,0.1000,0.4074
[2][135/258],4.627,4.353,1.1042,1.0967,0.4000,0.4074
[2][136/258],3.838,4.350,0.9634,1.0957,0.6000,0.4088
[2][137/258],4.376,4.350,0.9736,1.0948,0.5000,0.4094
[2][138/258],4.009,4.347,1.0704,1.0946,0.4000,0.4094
