Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[12/15],6.372,7.577,1.4315,1.185,0.35,0.423
[13/15],6.324,7.488,1.3544,1.1971,0.4,0.421
[14/15],2.447,7.152,1.4742,1.2038,0,0.411
[0/15],7.688,7.688,1.1083,1.1083,0.45,0.45
[1/15],7.575,7.631,1.2526,1.1805,0.15,0.3
[2/15],7.143,7.468,1.2673,1.2094,0.3,0.3
[3/15],7.303,7.427,1.1629,1.1978,0.3,0.3
[4/15],7.585,7.459,1.1592,1.1901,0.35,0.31
[5/15],8.08,7.562,1.1244,1.1791,0.25,0.3
[6/15],6.262,7.377,1.3611,1.2051,0.2,0.286
[7/15],7.32,7.37,1.1204,1.1945,0.2,0.275
[8/15],7.105,7.34,1.4081,1.2183,0.35,0.283
[9/15],8.112,7.417,1.1125,1.2077,0.25,0.28
[10/15],7.654,7.439,1.2199,1.2088,0.25,0.277
[11/15],7.419,7.437,1.1735,1.2059,0.15,0.267
[12/15],8.201,7.496,1.1376,1.2006,0.2,0.262
[13/15],7.274,7.48,1.2617,1.205,0.15,0.254
[14/15],2.54,7.151,1.1176,1.2028,0.286,0.254
[0/15],6.279,6.279,1.2848,1.2848,0.2,0.2
[1/15],6.948,6.614,1.2472,1.266,0.4,0.3
[2/15],6.397,6.542,1.2725,1.2682,0.25,0.283
[3/15],7.956,6.895,1.0401,1.2112,0.7,0.388
[4/15],8.079,7.132,1.1855,1.206,0.5,0.41
[5/15],8.761,7.404,1.1603,1.1984,0.4,0.408
[6/15],7.142,7.366,1.1961,1.1981,0.45,0.414
[7/15],7.069,7.329,1.1774,1.1955,0.4,0.412
[8/15],7.24,7.319,1.1567,1.1912,0.6,0.433
[9/15],6.97,7.284,1.3286,1.2049,0.3,0.42
[10/15],8.377,7.384,1.0977,1.1952,0.45,0.423
[11/15],6.907,7.344,1.216,1.1969,0.45,0.425
[12/15],8.416,7.426,1.2019,1.1973,0.4,0.423
[13/15],8.136,7.477,1.1328,1.1927,0.5,0.429
[14/15],3.295,7.198,0.9473,1.1867,0.714,0.436
[0/15],9.667,9.667,1.075,1.075,0.5,0.5
[1/15],9.251,9.459,1.335,1.205,0.4,0.45
[2/15],10.039,9.652,0.8156,1.0752,0.6,0.5
[3/15],9.167,9.531,0.8204,1.0115,0.6,0.525
[4/15],8.63,9.351,1.2551,1.0602,0.4,0.5
[5/15],10.224,9.497,0.7795,1.0134,0.7,0.533
